asn,country
394814,"['NL', 'US']"
206857,['CH']
61942,['BR']
266260,['BR']
52506,['AR']
54321,['US']
1427,['US']
26037,['CA']
10488,['US']
14003,"['US', 'ID']"
211639,['RU']
49146,['UZ']
197097,['RU']
25635,['CA']
12779,['IT']
17403,['US']
24578,['PL']
264850,"['HN', 'US']"
328854,['NG']
52394,['AR']
199269,['GB']
394103,['US']
212492,['RS']
37297,['NG']
27750,"['UY', 'NI']"
136094,['ID']
10381,['US']
34141,['NL']
266535,['BR']
138737,['IN']
3908,"['HK', 'US']"
101,['US']
2685,"['US', 'CA']"
17660,['BT']
20889,['PL']
44676,['RU']
33182,"['NL', 'HK', 'BR', 'GB', 'US', 'SG', 'IN', 'MX']"
63265,['US']
44138,['SA']
270749,['BR']
9903,['TH']
60952,['RU']
141967,['ID']
8351,['DE']
11632,['US']
12859,"['', 'NL', 'LT', 'SE', 'DE']"
23776,['JP']
204955,['IR']
398983,['CA']
272,['US']
47668,['DE']
212645,['MK']
5757,['US']
53655,['US']
328808,['KE']
39474,['RO']
139747,['AU']
52874,['BR']
23293,['US']
60749,['FR']
207415,['NL']
56998,['TR']
36753,['US']
29496,['UA']
212404,['GB']
396283,['US']
28195,['BR']
23393,['US']
203417,['PL']
45458,['TH']
206565,['ES']
14932,['US']
397354,['US']
43865,['RU']
207793,['DE']
63766,['VN']
200736,['GR']
133470,['SG']
57679,['UA']
42097,['RU']
133359,['ID']
397801,['US']
357,['US']
8879,['DE']
5080,"['US', 'SA']"
265011,['BR']
11483,['US']
262283,['BR']
29446,['GB']
44446,"['NL', 'RU']"
142004,['BD']
26582,['US']
30686,['US']
15741,['RU']
51771,['RU']
209657,['RU']
36677,['US']
22192,['US']
53900,['US']
41667,['RU']
396475,['CA']
9924,"['SG', 'TW']"
50245,"['NL', 'UA', 'CZ', 'RU', 'GB', 'US']"
267070,['BR']
266076,['BR']
64110,['EC']
20015,['CL']
17072,['MX']
271174,['BR']
40277,['US']
14136,['US']
14214,"['US', 'CA']"
208719,['FR']
57943,['FR']
36337,['CA']
141196,['PH']
23508,['US']
212406,['US']
41993,['FI']
399637,['US']
2166,"['GB', 'US']"
396191,['US']
48336,['RO']
198273,['RS']
199346,['IE']
44645,['DE']
52201,['RU']
22271,['US']
327806,['AO']
39812,['RU']
22036,['US']
398832,['US']
394116,['US']
51229,['RU']
15805,['CY']
39662,['FI']
56533,"['GB', 'RU']"
9405,['CN']
200142,['PL']
267384,['BR']
42815,['BG']
270280,['BR']
12350,['CH']
397862,['US']
30404,['US']
267679,['AR']
263089,['BR']
393371,['US']
46454,['US']
135628,['BD']
399026,['US']
42424,"['MD', 'RO']"
15102,"['US', 'CA']"
199438,"['US', 'SE']"
16468,['US']
397715,['US']
33304,['US']
14923,['HK']
6307,"['US', 'SG', 'JP']"
19178,"['GB', 'US']"
54543,['US']
63549,['CN']
9,"['US', 'IN']"
134658,['ID']
48892,['UA']
49776,['RU']
49212,['ES']
40298,['US']
59670,['PL']
271866,['PE']
38394,['KR']
9761,['KR']
398029,['US']
146988,['BD']
136616,['AU']
212212,['RO']
264028,['BR']
203266,['PL']
262719,['BR']
13779,['US']
8029,['US']
43030,['TJ']
17529,['JP']
52831,['BR']
204647,['TR']
206674,['PL']
8561,['DE']
37341,['GH']
137041,['BD']
48418,['LB']
268629,['BR']
41316,['UA']
22528,['US']
137575,['AU']
33363,['US']
205535,['CZ']
266899,['AR']
264237,['BR']
19052,['CA']
50425,['RU']
264957,['BR']
42931,['DE']
55545,['TH']
138062,['ID']
141902,['ID']
36074,['US']
62098,['BE']
34288,['CH']
7883,['CA']
31129,['PL']
37647,['GH']
269150,['BR']
35053,['DE']
140758,['VN']
141576,['ID']
36248,['US']
196654,['IT']
41919,['GB']
3073,['MX']
199205,['AT']
42915,['IR']
136016,['AU']
62262,"['GB', 'US']"
11690,"['US', 'IN', 'unknown']"
36689,['CA']
131215,['IN']
55617,['KR']
62931,['PR']
51132,['SE']
204643,['ES']
199434,['ES']
204705,['ES']
131996,['MY']
202741,['DE']
23658,['IN']
202590,['GB']
48774,['SI']
23194,['US']
11491,['US']
197876,['ES']
136884,['ID']
56006,['CN']
211191,['RU']
398777,['US']
61841,['BR']
22385,['US']
206265,['ES']
58962,['CN']
27272,"['US', 'CA']"
55127,['US']
23016,['US']
16812,['US']
19972,['US']
141337,['IN']
135494,['BD']
48281,['IR']
41415,"['GB', 'CA']"
267395,['BR']
58304,['RU']
268481,['BR']
55592,"['HK', 'KR']"
35554,"['US', 'RU']"
11959,['US']
44090,['IR']
50071,['RU']
35362,['UA']
399054,['US']
40817,['US']
201259,['IR']
206942,['SA']
399331,['US']
212207,['FR']
394333,['US']
56575,['PL']
202141,['PL']
9277,['KR']
34615,"['DE', 'CH']"
142032,"['HK', 'CN']"
23325,['US']
52415,['AR']
47772,['UA']
209295,['FR']
269064,['BR']
197474,['PL']
266287,['BR']
60199,"['FR', 'CH']"
29975,['ZA']
199178,['CH']
138315,['IN']
60659,['TR']
11084,['CA']
208186,['RU']
43639,['NL']
61598,['BR']
55618,['KR']
25711,['US']
22181,['US']
30111,['US']
25865,['US']
27187,['US']
131998,['AU']
57342,['DE']
203831,['RU']
18356,['TH']
393368,['US']
24783,['RU']
31899,['US']
22420,['US']
35262,['IE']
140442,['ID']
266883,['AR']
19277,['US']
14147,['US']
53456,['US']
3165,['PL']
207647,['NL']
263753,['CL']
16717,['US']
268360,['BR']
49120,['RU']
271021,['BR']
206462,['UA']
17094,['US']
43628,"['CZ', 'RU']"
394304,['US']
7767,['US']
56079,['AU']
56134,['TH']
58371,['IN']
48312,['RU']
266362,['BR']
267827,['AR']
50478,['ES']
395645,['US']
393968,['US']
264158,['BR']
142363,['ID']
61986,['UA']
2688,"['CL', 'US', 'MX']"
25623,['US']
17570,['KR']
45150,['IN']
35751,['RU']
268690,['BR']
271316,['BR']
267027,['BR']
21956,['US']
48330,"['UA', 'RU']"
207146,['IT']
137013,['BD']
3557,['US']
209029,"['SA', 'JO']"
48928,['RO']
42740,['RU']
12392,['BE']
41215,['SA']
208320,['GE']
201910,['FR']
56938,['LV']
16898,['US']
43208,['RU']
202850,['FR']
33737,['US']
52381,['AR']
60071,['HU']
34165,['DK']
140186,['IN']
40648,['US']
23050,['US']
23871,['AU']
35798,['FR']
206071,['DE']
53437,['CA']
394111,['US']
207167,['CZ']
22551,['US']
138379,['PH']
15313,['US']
48608,['IR']
32720,['US']
268682,['BR']
323,['US']
42297,['FI']
11316,['US']
27495,"['US', 'CA']"
140072,['NP']
393859,['US']
63245,['US']
28018,['PA']
49736,['RU']
27760,['PA']
394708,['US']
264021,['BR']
199024,['RU']
204249,['IQ']
202127,['CZ']
11823,['US']
27163,['US']
133989,['IN']
10199,['IN']
44585,['ES']
50539,['RU']
397438,['US']
22972,['US']
263998,['BR']
209640,['MD']
202545,['DE']
28806,['NL']
18131,['JP']
201483,['IT']
43199,['RU']
27229,['US']
47938,['RU']
27370,['US']
48602,['CZ']
38727,['VN']
14034,['US']
29702,['US']
201102,['IT']
24212,['ID']
203460,['GB']
11791,['US']
210055,['ES']
34222,['CZ']
47128,['PL']
394841,['US']
38199,['MY']
138647,['HK']
265037,['BR']
399078,['US']
18642,['US']
22785,['US']
55813,['AU']
12876,"['NL', 'FR', 'PL']"
20397,['US']
56151,['VN']
61648,['BR']
399256,['US']
136604,['AU']
263555,['BR']
36581,['US']
133188,['AU']
51350,['AT']
3949,"['HK', 'AU', 'JP', 'DE', 'GB', 'US', 'CA']"
267371,['BR']
133644,['IN']
12450,['MD']
264416,['BR']
13710,['US']
270972,['BR']
262548,['BR']
39882,['GI']
38203,['BD']
131362,['VN']
140720,['CN']
53197,['BR']
26616,['BR']
36328,['US']
23177,['US']
48101,['GB']
52568,['BR']
131198,['NZ']
27638,['US']
197958,['GB']
51855,['BG']
52345,['EC']
30291,['US']
265724,['EC']
198843,['IT']
262215,['CO']
205784,['RU']
137667,['IN']
3401,['US']
137934,['BD']
65724,['CZ']
11313,['US']
29503,['RU']
14103,['US']
393914,['US']
199433,['HR']
205776,['PL']
394374,['US']
399001,['US']
36336,['US']
4664,['KR']
32969,['US']
18859,['US']
271309,['BR']
30110,['US']
137441,['AU']
136357,['IN']
6733,['DE']
10982,['US']
205276,['IT']
25056,['AT']
200965,['GB']
60243,['PL']
19184,['US']
394410,['CA']
{36751},['US']
140123,['IN']
399825,['CA']
267733,['CL']
48855,['RO']
211194,['RU']
32782,"['GB', 'US']"
52863,"['US', 'BR']"
61746,['BR']
203165,['CZ']
328652,['KE']
271911,['EC']
136289,['IN']
138138,['ID']
198096,"['', 'ES']"
17733,['SG']
23422,['US']
207040,['ES']
211687,['RU']
53142,['BR']
201015,['IR']
201577,['NO']
266762,['BZ']
49325,['RU']
47632,['NL']
199049,['RU']
198166,['IT']
205053,['GR']
27830,['AR']
53390,['CA']
205559,['KZ']
7753,['US']
212717,['LV']
40216,['US']
42990,['IR']
9083,['DE']
32834,['US']
398183,['US']
49452,['RU']
395438,['US']
58692,['TH']
50257,['RU']
27441,['US']
270855,['BR']
35328,['SK']
137702,['CN']
197559,['RU']
61859,['BR']
14175,['US']
49766,['IE']
50843,['PL']
59150,['ID']
45729,['ID']
39806,"['', 'SE']"
24989,"['DE', 'US', 'AT', 'CH']"
135203,['IN']
198283,['BG']
57574,['IR']
48760,['PL']
328333,['ZA']
208991,['RU']
209667,['RU']
22435,['US']
270874,['BR']
16312,['NO']
22894,['MX']
48874,['RO']
262378,['BR']
209942,['RS']
207264,['IQ']
31261,['RU']
14041,['US']
269446,['BR']
265092,['BR']
141393,['IN']
8902,['GB']
138783,['IN']
203061,"['NL', 'LT', 'CZ', 'HU', 'BR', 'AT', 'JP', 'DE', 'GB', 'US', 'SG', 'FR', 'KR']"
137475,['AF']
134204,['BD']
26780,['US']
210184,['AT']
20740,['DE']
41878,['AX']
32613,"['PH', 'US', 'CA']"
43047,['UA']
198622,"['DK', 'LT']"
327920,['CM']
19465,['CA']
16961,['US']
23038,['US']
27387,['US']
24041,['PH']
25118,['UA']
395551,['US']
263848,['BR']
33569,['US']
204688,['GB']
137677,['IN']
138040,['MY']
264502,['BR']
266271,['BR']
1821,['US']
35458,['AT']
142122,['BD']
59605,"['BH', 'JO', 'CA']"
12440,"['DE', 'GB']"
138571,"['HK', 'US']"
4539,['US']
17834,['KR']
202793,['GB']
25854,['US']
395514,['US']
61470,['AR']
23550,"['PR', 'US']"
39323,['RU']
395337,['US']
46744,['US']
33257,['US']
393246,['US']
198898,['IT']
58424,['KH']
395163,['US']
393622,['US']
51221,['GB']
197215,['PL']
12926,['PT']
46985,['US']
44857,['RU']
208123,['GB']
397562,['US']
268928,['BR']
207077,['DE']
3097,['CH']
208393,"['GB', 'US']"
25940,['US']
131236,['SG']
265043,['BR']
265453,['BR']
39007,['LT']
133456,['SG']
131659,['TW']
203878,['GR']
18515,['US']
394170,['US']
53077,['BR']
23127,['US']
140740,['VN']
264642,['AR']
15368,['DE']
269043,['BR']
53185,['BR']
35205,['DE']
1248,"['NL', 'US', 'IN', 'KR']"
268494,['BR']
393742,['US']
56779,['RU']
59267,['AU']
131282,['AU']
141659,['ID']
206399,['FR']
42649,['SE']
202470,['MD']
204001,['IR']
206175,['FI']
40763,['US']
56420,['RU']
397130,['CA']
30791,['DE']
13778,"['US', 'SG', 'IN']"
208710,['KW']
139430,['ID']
398152,['HK']
57377,['GB']
141133,['ID']
52168,['RU']
267428,['BR']
7049,"['CL', 'AR']"
35366,['DE']
197066,['CH']
197433,['UA']
23589,['KR']
10848,['US']
133942,['SG']
35534,['MD']
47488,['DE']
201598,['GE']
52063,['GB']
